review,sentiment
after the success of die hard and its sequels its no surprise really that in the 1990s glut of die hard on movies cashed in on the wrong guy wrong place wrong time concept that is what they did with cliffhanger die hard on mountain just in time to rescue sly stop or my mom will shoot stallones careercliffhanger is one big nitpickers dream especially to those who are expert at mountain climbing basejumping aviation facial expressions acting skills all in all its full of excuses to dismiss the film as one overblown pile of junk stallone even managed to get outacted by horse however if you an forget all the nonsense its actually very lovable and undeniably entertaining romp that delivers as plenty of thrills and unintentionally plenty of laughsyouve got to love john lithgows sneery evilness his tick every box band of baddies and best of all the permanently harassed and hapless turncoat agent rex linn as travershe may of been henry in portrait of serial killer but michael rooker is noteworthy for cringeworthy performance as hal he insists on constantly shrieking in painful disbelief at his captors that man never hurt anybody and whilst he surely cant be it really does look like ralph waites frank character is grinning as the girl plummets to her deathmention too must go to former londons burning actor craig fairbrass as the brit bad guy who comes cropper whilst using hal as human football yes you cant help enjoy that bit hal needed good kickingso forget your better judgement who cares if that could never happen lower your acting expectations turn up the volume and enjoy and if youre looking for qaulen hes the one wearing the helicopter,positive
had the terrible misfortune of having to view this bmovie in its entiretyall have to say is save your time and money this has got to be the worst bmovie of all time it shouldnt even be called bmovie more like an fmovie because it fails in all aspects that make good movie the story is not interesting at all all of the actors are paperthin and not at all believable it has bad direction and the action sequences are so fake its almost funnyalmostthe movie is just packed full of crappy oneliners that no respectable person could find amusing in the least little bitthis movie is supposed to be geared towards men but all the women in it are so utterly unattractive especially that old wrinkled thing that comes in towards the end they try to appear sexy in those weird horrible costumes and they fail miserablyeven some of the most ridiculous bmovies will still give you some laughs but this is just too painful to watch,negative
what an absolutely stunning movie if you have hrs to kill watch it you wont regret it its too much fun rajnikanth carries the movie on his shoulders and although there isnt anything more other than him still liked it the music by arrehman takes time to grow on you but after you heard it few times you really start liking it,positive
first of all lets get few things straight here am an anime fan always has been as matter of fact used to watch speed racer all the time in preschool do like several bmovies because theyre hilarious like the godzilla movies lotmoving on when the movie first comes on it seems like its going to be your usual bmovie down to the crappy fx but all sudden boom the anime comes on this is when the movie goes wwwaaaaayyyyy downhillthe animation is very bad cheap even worse than what remember from speed racer for crissakes in fact its so cheap one of the few scenes from the movie vividly remember is when bunch of kids run out of school its the same kids over over again the fx are terrible too the dinosaurs look worse than godzilla in addition the transition to live action to animation is unorganized the dialogue voicesespecially the english dub that viewed was horrid was begging my dad to take the tape out of the dvd vhs player the only thing that kept me surviving was cracking out jokes comments like the robots joelmike on mst3k you pick the season honestly this is the only way to barely enjoy this movie survive it at the same timeheck im planning to show this to another fellow otaku pal of mine on halloween for bmovie night because its stupid pretty painful to watch unintentionally hilarious at the same time im giving this movie an improvement from the was originally going to give itaccording to my grading scale means pretty much both boring bad as fun as counting to three unless you find way to make fun of it then it will become as fun as counting to,negative
this was the worst movie saw at worldfest and it also received the least amount of applause afterwards can only think it is receiving such recognition based on the amount of known actors in the film its great to see jbeals but shes only in the movie for few minutes mparker is much better actress than the part allowed for the rest of the acting is hard to judge because the movie is so ridiculous and predictable the main character is totally unsympathetic and therefore bore to watch there is no real emotional depth to the story movie revolving about an actor who cant get work doesnt feel very original to me nor does the development of the cop it feels like one of many straighttovideo movies saw back in the 90s and not even good one in those standards,negative
the karen carpenter story shows little more about singer karen carpenters complex life though it fails in giving accurate facts and detailscynthia gibb portrays karen was not fine election she is good actress but plays very naive and sort of dumb karen carpenter think that the role needed stronger character someone with stronger personalitylouise fletcher role as agnes carpenter is terrific she does great job as karens motherit has great songs which could have been included in soundtrack album unfortunately they werent though this movie was on the top of the ratings in usa and other several countries,positive
the cell is an exotic masterpiece dizzying trip into not only the vast mind of serial killer but also into one of very talented director this is conclusive evidence of what can be achieved if human beings unleash their uninhibited imaginations this is boldness at work pushing aside thoughts to fall into formulas and cliches and creating something truly magnificent this is the best movie of the year to dateive read numerous complaints about this film anywhere from all style and no substance to poorly cast characters and bad acting to negatively criticize this film is to miss the point this movie may be landmark tradition where future movies will hopefully follow the cell has just opened the door to another world of imagination so can we slam the door in its face and tell it and its director tarsem singh that we dont want any more personally would more than welcome another movie by tarsem and would love to see someone try to challenge himweve all heard talk about going inside the mind of serial killer and yes do agree that the genre is bit overworked the 90s were full of movies trying to depict what makes serial killers tick some of them worked but most failed but the cell does not blaze down the same trail we are given new twist we are physically transported into the mind and presented with nothing less than fascinating journey of the most mysterious subject matter ever studiedi like how the movie does not bog us down with too much scientific jargon trying to explain how jennifer lopez actually gets to enter the brain of another instead she just lies down on laboratory table and is wrapped with what looks like really long twizzlers and jaunted into another entity the cell wants to let you see what its all about and not how its all about and guess thats what some people dont like true do like explanations with my movies but when movie ventures onto new ground you must let it do what it desires and simply take it ini noticed how the film was very dark when it showed reality maybe to contrast the bright visuals when inside the brain of another nonetheless the set design was simply astonishing wouldnt be surprised if this film took home few oscars in cinematography best costumes best director and the like if it were up to me itd at least get nominated for best pictureive noticed that ive kind of been repeating myself not because theres nothing else to say but because cant stress enough how fantastic thought the cell was if you walk into the movie with very open mind and to have it taken over with wonders and an eyepopping feast then you are assured good time guess this film was just little too much for some people writing it off as weird or crazy am very much into psychology and the imagination of the human mind so it was right down my alley leaving the theater heard one audience member say whoever made that movie sure did lot of good drugs if so want what he was smoking out of,positive
this film tried to be too many things all at once stinging political satire hollywood blockbuster sappy romantic comedy family values promo the list goes on and on it failed miserably at all of them but there was enough interest to keep me from turning it off until the endalthough appreciate the spirit behind war inc it depresses me to see such clumsy effort especially when it will be taken by its targets to reflect the lack of the existence of serious critique rather than simply the poor writing direction and production of this particular filmthere is critique to be made about the corporatization of war but poking fun at it in this way diminishes the true atrocity of what is happening reminds me bit of three kings which similarly trivializes genuine cause for concern,negative
this movie was so frustrating everything seemed energetic and was totally prepared to have good time at least thought id be able to stand it but was wrong first the weird looping it was like watching americas funniest home videos the damn parents hated them so much the stereotypical latino family need to speak with the person responsible for this we need to have talk that little girl who was always hanging on someone just hated her and had to mention it now the final scene transcends must say its so gloriously bad and full of badness that it is movie of its own what crappy dancing horrible and beautiful at once,negative
war movie is hollywood genre that has been done and redone so many times that clichéd dialogue rehashed plot and overthetop action sequences seem unavoidable for any conflict dealing with largescale combat once in while however war movie comes along that goes against the grain and brings truly original and compelling story to life on the silver screen the civil warera cold mountain starring jude law nicole kidman and renée zellweger is such filmthen again calling cold mountain war movie is not entirely accurate true enough the film opens with quite literally quickanddirty battle sequence that puts glory director edward zwick shame however cold mountain is not so much about the civil war itself as it is about the period and the people of the times the story centers around disgruntled confederate soldier inman played by jude law who becomes disgusted with the gruesome war and homesick for the beautiful hamlet of cold mountain north carolina and the equally beautiful southern belle he left behind ada monroe played by nicole kidman at first glance this setup appears formulaic as the romantic interest back home gives the audience enough sympathy to root for the reluctant soldiers tribulations on the battlefield indeed the earlier segments of the film are relatively unimpressive and even somewhat contrivedcold mountain soon takes drastic turn though as the intrepid hero inman turns out to be deserter incidentally saving the audience from the potentially confusing scenario of wanting to root for the confederates and begins long odyssey homeward meanwhile back at the farm adas cultured ways prove of little use in the fields soon she is transformed into something of wilderbeast coming to adas rescue is the course toughasnails ruby thewes played by renée zellweger who helps ada put the farm back together and perhaps more importantly cope with the loneliness and isolation the war seems to have brought upon adawithin these two settings vivid compelling and at times very disturbing portrait of the wartorn south unfolds the characters with whom inman and ada interact are surprisingly complex enhanced by wonderful performances of brendan gleeson as rubys deadbeat father ray winstone as an unrepentant southern lawman and natalie portman as deeply troubled and isolated young mother all have been greatly affected and changed by the war of northern aggression mostly for the worse the dark pervading antiwar message accented by an effective haunting score and chillingly beautiful shots of virginia and north carolina is communicated to the audience not so much by gruesome battle scenes as by the scarred land and traumatized people for which the war was fought though the weapons and tactics of war itself have changed much in the past century its hellish effect on the land is timelessly relevantdirector anthony minghella manages to maintain this gloomy mood for most of the film but the atmosphere is unfortunately denigrated by rather tepid climax that does little justice to the wonderfully formed characters the love story between inman and ada is awkwardly tacked onto the beginning and end of the film though the inherently distant abstracted and even absurd nature of their relationship in way fits the dismal nature of the rest of the plotmake no mistake cold mountain has neither the traits of feelgood romance nor an inspiring war drama it is unique vision of an era that is sure not only to entertain but also to truly absorb the audience into the lives of people torn apart by war and entirely desperate to be rid of its terrible repercussions altogether,positive
taut and organically gripping edward dmytryks crossfire is distinctive suspense thriller an unlikely message movie using the look and devices of the noir cyclebivouacked in washington dc company of soldiers cope with their restlessness by hanging out in bars three of them end up at strangers apartment where robert ryan drunk and belligerent beats their host sam levene to death because he happens to be jewish police detective robert young investigates with the help of robert mitchum whos assigned to ryans outfit suspicion falls on the second of the three george cooper who has vanished ryan slays the third buddy steve brodie to insure his silence before young closes inabetted by superior script by john paxton dmytryk draws precise performances from his three starring bobs ryan naturally does his prototypical angry white male and to the hilt while mitchum underplays with his characteristic alert nonchalance his role however is not central young may never have been better gloria grahame gives her first fullyfledged rendition of the smartmouthed vulnerable tramp and as sad sack whos leeched into her life paul kelly haunts us in small peripheral role that he makes memorablethe politically engaged dmytryk perhaps inevitably succumbs to sermonizing but its pretty much confined to youngs reminiscence of how his irish grandfather died at the hands of bigots century earlier thus incidentally stretching chronology to the limit at least theres no attempt to render an explanation however glib of why ryan hates jews and hillbillies andcuriously crossfire survives even the major change wrought upon it the novel its based on richard brooks the brick foxhole dealt with gaybashing murder but homosexuality in was still beyond the pale news of the holocaust had however begun to emerge from the ashes of europe so hollywood felt emboldened to register its protest against antisemitism the studios always quaked at the prospect of offending any potential ticket buyerbut while the change from homophobia to antisemitism works in general the specifics dont fit so smoothly the victims chatting up lonesome drunk young soldier then inviting him back home looks odd even though or especially since theres girlfriend in tow it raises the question whether this scenario was retained inadvertently or left in as discreet tipoff to the original engine generating ryans murderous rage,positive
ardh satya is one of the finest film ever made in indian cinema directed by the great director govind nihalani this one is the most successful hard hitting parallel cinema which also turned out to be commercial success even today ardh satya is an inspiration for all leading directors of indiathe film tells the reallife scenario of mumbai police of the 70s unlike any police of other cities in india mumbai police encompasses different system altogether govind nihalani creates very practical outlay with real life approach of mumbai police environmentamongst various police officers colleagues the film describes the story of anand velankar young hotblooded cop coming from poor family his father is harsh police constable anand himself suffers from his fathers ideologies incidences of his fathers atrocities on his mother anands approach towards immediate action against crime is an inert craving for his own job satisfaction the film is here revolved in plot wherein anands constant efforts against crime are trampled by his seniorsthis leads to frustrations as he cannot achieve the desired jobsatisfaction resulting from the frustrations his anger is expressed in excessive violence in the remand rooms bars also turning him to an alcoholicthe spirit within him is still alive as he constantly fights the system he is aware of the system of the metro where the police politicians are inertly associated by far end his compromise towards unethical practice is negative finally he gets suspendedthe direction is master piece thoroughly hard core one of the best memorable scenes is when anand breaks in the underworld gangster rama shettys house to arrest him followed by short conversation which is fantastic at many scenes the film has hairraising momentsthe practical approach of script is major punch alcoholism corruption political influence courage deceptions all are integral part of mumbai police even today those aspects are dealt brilliantlyfinally the films belongs to the one man show om puri portraying anand velankar traversing through all his emotions absolutely brilliantly,positive
my first exposure to the templarios not good one was excited to find this title among the offerings from anchor bay video which has brought us other cult classics such as spider baby the print quality is excellent but this alone cant hide the fact that the film is deadly dull theres thrilling opening sequence in which the villagers exact terrible revenge on the templars set the whole thing in motion but everything else in the movie is slow ponderous ultimately unfulfilling adding insult to injury the movie was dubbed not subtitled as promised on the video jacket,negative
one of the most significant quotes from the entire film is pronounced halfway through by the protagonist the mafia middleman titta di girolamo physically nondescript middleaged man originally from salerno in southern italy when were introduced to him at the start of the film hes been living nonlife in an elegant but sterile hotel in the italianspeaking canton of switzerland for the last ten years conducting business we are only gradually introduced to while this pivotal yet apparently unremarkable scene takes place employees of the the swiss bank who normally count di girolamos cash tell him that dollars are missing from his usual suitcase full of tightly stacked banknotes at the news he quietly but icily threatens his coaxing bank manager of wanting to close down his account meanwhile he tells us the spectators that when you bluff you have to bluff right through to the end without fear of being caught out or appearing ridiculous he says you cant bluff for while and then halfway through tell the truth having eventually done this bluffed only halfway through and told the truth and having accepted the consequences of life and ultimately love is exactly the reason behind the beginning of titta di girolamos troubles this initially unsympathetic character scowling taciturn curt man on the verge of man who wont even reply in kind to chambermaids and waitresses who say hello and goodbye becomes at one point someone the spectator cares deeply about at one point in his nonlife titta decides to feel concern about appearing ridiculous the first half of the film may be described as slow by some it does indeed reveal di girolamos days and nights in that hotel at an oddly disjoined deliberate pace revealing seemingly mundane and irrelevant details however scenes that may have seemed unnecessary reveal just how essential they are as this masterfully constructed and innovative film unfolds before your eyes the existence of titta di girolamo the man with no imagination identity or life the unsympathetic character you unexpectedly end up loving and feeling for when you least thought you would is also conveyed with elegantly edited sequences and very interesting use of music one theme by the scottish band boards of canada especially stood out never was the contrast between the way hollywood and italy treat mobsters more at odds than since the release of films such as le conseguenze dellamore or limbalsamatore another interesting element was the way in which the film made use of the protagonists insomnia not unlike the machinist and in far more explicit way the al pacino film insomnia le conseguenze dellamore uses this condition to symbolise deeper emotional malaise thats been rammed so deep into the obscurity of the unconscious its almost impossible to pinpoint its cause if indeed there is one the young and sympathetic hotel waitress sofia played by olivia magnani granddaughter of the legendary anna and the memory of tittas best friend man whom he hasnt seen in years unexpectedly provide tiny window onto life that titta eventually though tentatively at first accepts to look through again though its never explicitly spelt out the spectator knows that to man like titta accepting the consequences of love will have unimaginable consequences film without single scene of sex or violence film that unfolds in its own time and concedes nothing to the spectators expectations le conseguenze dellamore is fine representative of that small quiet discreet renaissance that has been taking place in italian cinema since the decline of cinecittà during the second half of the 70s the world is waiting for italy to produce more il postinolike fare more la vita bellastyle films neglecting to explore fine creations like le conseguenze dellamore limbalsamatore and others your loss world,positive
watched this film not really expecting much got it in pack of films all of which were pretty terrible in their own way for under fiver so what could expect and you know what was right they were all terrible this movie has few and few is stretching it interesting points the occasional camcorder view is nice touch the drummer is very like drummer ie damned annoying and well thats about it actually the problem is that its just so boring in what can only assume was an attempt to build tension whole lot of nothing happens and when it does its utterly tedious had my thumb on the fast forward button ready to press for most of the movie but gave it go and seriously is the lead singer of the band that great looking coz they dont half mention how beautiful he is hell of lot thought he looked bit like meercat all this and havent even mentioned the killer im not even gonna go into it its just not worth explaining anyway as far as im concerned star and london are just about the only reason to watch this and with the exception of london who was actually quite funny it wasnt because of their acting talent ive certainly seen lot worse but ive also seen lot better best avoid unless your bored of watching paint dry,negative
bought this film at blockbuster for because it sounded interesting bit ranmaesque with the idea of someone dragging around skeleton because there was cute girl in miniskirt on the back and because there was restricted viewing sticker on it thought it was going to be sweet or at least sincere coming of age story with weird indie edge was wronghaving watched it have to wonder how it got the restricted sticker since there is hardly any foul language little violence and the closest thing to nudity honestly dont usually go around hoping for it is when the girl is in her nightgown and you see her panties you see her panties lot in this movie because no matter what shes wearing miniskirt of some sort even the antireligious humor is tame and lame caricatured insincere derivative unoriginal and worst of all not funny in the slightestit would be better just to listen to ray stevens would jesus wear rolex on his television show this would barely qualify as pg13 it is not rated but blockbuster refuses to let anyone under the age of rent thisas if it was pornographic any little kid could go in there and rent the edited version of requiem for dream but they insist that zack and reba is worseit is but not in that wayin way this worries methe only thing left that could offend people is the idea of the suicide at the beginning if anybody needs to see movies with honestly portrayed suicides not this one but better ones like the virgin suicides its teenagers if both of those movies were rated purely because of the suicide aspect then have little chance of turning story ive been writing into pg13 movie the main characters are eleven and half and twelve suicide is one of the top three leading causes of death in teenagers think its number so chances are that most teens have been or will be affected by itjust say no to this movie though,negative
the plot is about the death of little children hopper is the one who has to investigate the killings during the movie it appears that he has some troubles with his daughter in the end the serial killer get caught thats it but before you find out who dunnit you have to see some terrible acting by all of the actors it is unbelievable how bad these actors are including hopper could go on like this but that to much of waste of my time just dont watch the movie ive warned you,negative
ever watched movie that lost the plot well this didnt even really have one to begin withwhere to begin the achingly tedious scenes of our heroine sitting around the house with actually no sense of menace or even foreboding created even during the apparently constant thunderstorms that are strangely never actually heard in the housegreat double glazing the house that is apparently only few miles from town yet is several hours walk away or the third girl who serves no purpose to the plot except to provide surprisingly quick gory murder just as the tedium becomes unbearable or even the beginning which suggests spate of killings throughout the area even though it is apparent the killer never ventures far from the house or the bizarre ritual with the salt pepper that pretty much sums up most of the films inherent lack of directionadd lead actress who cant act but at least is willing to do some completely irrelevant nude shower scenes and this video is truly nasty but not in the way you hopegiven following simply for being banned in the uk in the 80s mostly because of final surprisingly over extended murder it offers nothing but curiosity value and one classic daft murder dont worryits telegraphed at least ten minutes beforeafter walk in the woods our victim comes to rather steep upward slope which they obviously struggle up halfway through they see figure at the top dressed in black and brandishing large scythe what do they do slide down and run like the rest of us no of course not they struggle to the top and stand conveniently nice and upright in front of the murder weaponit really is only movie as they say,negative
okay so this series kind of takes the route of here we go again week in week out david morses character helps out his ride who is in bit of pickle but whats wrong with that david morse is one of the greatest character actors out there and certainly the coolest and to have him in series created by david koepp great writer is heavendue to the lack of love for this show by many cant see it going to season series but you never know the amount of rubbish that has made it beyond that baffles me lets hope something good can make it past first series,positive
